Token,Item Name,Description,Category,SKU,Variation Name,Price,Current Quantity Green Ridge LLC.,New Quantity Green Ridge LLC.,Stock Alert Enabled Green Ridge LLC.,Stock Alert Count Green Ridge LLC.,Tax - Sales Tax (6.75%)
43CNXW2N6ZCAKXBDKFU54BXR,$1 Donation ,$1.00 donation ,Donation,,Regular,1.00,,,,,N
INGMXZFDNAJJV7TZ6AWSC4NM,$10 Donation ,$10 Donation ,Donation,,Regular,10.00,,,,,N
NUGN2IJR64TOVZRS46KV2FQK,$5 Donation ,$5 Donation ,Donation,,Regular,5.00,,,,,N
ILBZALC3HQORFW66QCORIBVP,10' Stand ,10' Stand ,Stands,,Regular,variable,,,,,Y
SAUJMWBUTA5CKRGT4H36OXEH,"28"" Jack Frost","28"" Jack Frost",Wreaths,,Regular,27.00,,,,,Y
W3CYMOCGFDCIR4WEELXCDV77,4 Foot,Flocking for 4 foot tree,Flocking ,,Regular,40.00,,,,,Y
TDFOKJRCEWZJL2BTOAZAUJDW,5 Foot,Flocking for 5 foot tree ,Flocking ,,Regular,50.00,,,,,Y
VTKK2D7R4AW3O25355WOKGAU,6 Foot,Flocking for 6 foot tree ,Flocking ,,Regular,60.00,,,,,Y
GGANJ5UGUEV6X2VLOZQW4FNG,6' Stand,6' Stand,Stands,,Regular,variable,,,,,Y
55PUVUEVD33SN2XYOPYEUWNZ,7 Foot,Flocking for 7 foot tree ,Flocking ,,Regular,70.00,,,,,Y
A536T6OKVLVXQJ6XEO5OLUSM,8 Foot,Flocking for 8 foot tree ,Flocking ,,Regular,80.00,,,,,Y
SMFU3P6HS3OIFC242F5PKDRI,8' Stand ,8' Stand ,Stands,,Regular,variable,,,,,Y
WIW6XL5RGDZXBINKGZL6BHN4,Alpine 10-11,Alpine 10-11,Alpine Trees,,Regular,159.99,,,,,Y
WZON6A2Z2UFTF7ELKI3WPNDV,Alpine 11-12,Alpine 11-12,Alpine Trees,,Regular,169.99,,,,,Y
3JVQEDL5AI7TFRZQTTH57PVL,Alpine 12-13,Alpine 12-13,Alpine Trees,,Regular,179.99,,,,,Y
EMKG5OOHJF4AKTLHMUQ2Y6IP,Alpine 13-14,Alpine 13-14,Alpine Trees,,Regular,229.00,,,,,Y
YMUDXAP6VEYFJ6CNF4JNLYKN,Alpine 14-15,Alpine 14-15,Alpine Trees,,Regular,249.00,,,,,Y
7MZBQT3VXO5R4N6TOELV7FKM,Alpine 3-4,Alpine 4-5,Alpine Trees,,Regular,39.99,,,,,Y
FPAOMUEVJSVP6JU3QRTWUFJN,Alpine 4-5,Alpine 4-5,Alpine Trees,,Regular,49.99,,,,,Y
XNE6J5AJWUD2EG4MY5G7L7TV,Alpine 5-6,Alpine 5-6,Alpine Trees,,Regular,59.99,,,,,Y
73N3ANTPT7NW6BPHN36R3WQE,Alpine 6-7,Alpine 6-7,Alpine Trees,,Regular,69.99,,,,,Y
APIDGENXBXPNJT4ZHUTVWCNI,Alpine 7-8,Alpine 7-8,Alpine Trees,,Regular,89.99,,,,,Y
4LV37RRJFMTBIQDLY32QQH2O,Alpine 8-9,Alpine 8-9,Alpine Trees,,Regular,109.99,,,,,Y
7I3CUUA6AZWO3X6LPXEXNCGM,Alpine 9-10,Alpine 9-10,Alpine Trees,,Regular,129.99,,,,,Y
6VCGZI6BTRGFLWJ5LZ3HAJBY,Alpine Custom ,Custom Priced Alpine ,Alpine Trees,,Regular,variable,,,,,Y
NBH3NX7N3G3QY6VRAFT5TBQI,Berries And Bows,Berries and bows,Wreaths,,Regular,42.00,,,,,Y
GVKYQNGHODNAZ56FTPZVOXX2,Candy Cane,Candy Cane,Wreaths,,Regular,30.00,,,,,Y
46LQFVSPKCQVU25TQC3EVNQ7,Cedar Garland 25',Cedar Garland 25',Wreaths,,Regular,36.00,,,,,Y
2XNLCIUIP4ZZ3OO22Q2JGAPW,Centerpiece ,Holiday Centerpiece ,Wreaths,,Regular,26.00,,,,,Y
AAEZRXFVGF4OPNMZ5ZQ4YL6R,Chalk Board,Chalk board ,Wreaths,,Regular,18.00,,,,,Y
CPGEFSTVLI2GBTOLLMS55W4Q,Chili,Bowl of chili or bread bowl of chili,Food,,Regular,6.00,,,,,Y
4XMC2WOK6ET35RCITDQP7XO6,Chili Dog,Chili dog,Food,,Regular,4.00,,,,,Y
MW5DPI66WGVJQD6OQTZMWJC2,Chili With Nachos ,Nachos with chili ,Food,,Regular,4.00,,,,,Y
IC7PBWBTX6BWOJRSOANY7EA2,Cider,Hot holiday cheer cider,Food,,Regular,1.00,,,,,Y
R6YO4FQUU56VICRF3H64GN6W,Cinnamon Rolls ,Cinnamon rolls,Food,,Regular,2.00,,,,,Y
BQVR7KF7QXA2L5Z3TZGIPDLH,Custom Donation ,Custom donation ,Donation,,Regular,variable,,,,,N
XRKCMUAGLZN647AN3ROHRV3I,Custom Flocking ,Flocking for custom priced/oversized tree,Flocking ,,Regular,variable,,,,,Y
TX2IFGHGPGUOKTMN7LLVXJNW,Custom Miscellaneous ,Custom Miscellaneous ,Miscellaneous ,,Regular,variable,,,,,Y
45YU2SNWWQ2AT2SPI6P6Z7UF,Custom Priced Wreath,Custom Priced Wreath,Wreaths,,Regular,variable,,,,,Y
GSU52AHJGDRD5M4AGYHRLKXP,Custom Stand ,Custom Priced Stand ,Stands,,Regular,variable,,,,,Y
QYGSLFRLHGY2MB4CXX2MZX2H,Flocking For Wreath ,Flocking for wreath,Wreaths,,Regular,10.00,,,,,Y
MNPUI5UB7P3NA5PYPLS5I5EU,Fraser 6-7,Fraser 6-7,Fraser Trees,,Regular,75.99,,,,,Y
SYTTMSFEZY2F2YVAYGQ5Y7RV,Fraser 7-8,Fraser 7-8,Fraser Trees,,Regular,95.99,,,,,Y
EB4QISGGRUJ6LK3YNTVEJZJD,Fraser Custom,Custom Priced Fraser ,Fraser Trees,,Regular,variable,,,,,Y
VX7ZF2VYOIE45L4NMBWLNCIE,Grand 10-11,Grand 10-11,Grand Trees,,Regular,159.99,,,,,Y
GJNMBAQS5A3YDUZN5VUPH4CF,Grand 11-12,Grand 11-12,Grand Trees,,Regular,169.99,,,,,Y
WNU27NPLTIP54ROXH3JEDDID,Grand 4-5,Grand 4-5,Grand Trees,,Regular,49.99,,,,,Y
NH32ITUBW3QTXUBV2WHECFOL,Grand 5-6,Grand 5-6,Grand Trees,,Regular,59.99,,,,,Y
QAKTRWXZFARL3RS6UBFSJCMJ,Grand 6-7,Grand 6-7,Grand Trees,,Regular,69.99,,,,,Y
XDIX7GWEJPZKWM7YYIF4XC2I,Grand 7-8,Grand 7-8,Grand Trees,,Regular,89.99,,,,,Y
SCYEI3PMMFOUG65AA3KP5I6E,Grand 8-9,Grand 8-9,Grand Trees,,Regular,109.99,,,,,Y
IBLMTOSVUBCITTZCJOD7DLX7,Grand 9-10,Grand 9-10,Grand Trees,,Regular,129.99,,,,,Y
ARJA6ZLSXKDACG3QOFDSVCB7,Grand Custom ,Custom Priced Grand ,Grand Trees,,Regular,variable,,,,,Y
N3TH5C5FXNPVQZCO5RSQQZCK,Heavy 4 Foot,Heavy flocking for 4 foot tree,Flocking ,,Regular,60.00,,,,,Y
ZWJUAQJAW76ICG6AIPY732YA,Heavy 5 Foot,Heavy flocking for 5 foot tree,Flocking ,,Regular,75.00,,,,,Y
2NLDE7SRAIE3K7G76IFIWYJI,Heavy 6 Foot,Heavy flocking for 6 foot tree ,Flocking ,,Regular,90.00,,,,,Y
LCSZPZ6DHYV5ZAAGYPHDXNDH,Heavy 7 Foot ,Heavy flocking for 7 foot tree ,Flocking ,,Regular,105.00,,,,,Y
KWKREDSR2KK45KCF5B7TYXRR,Heavy 8 Foot ,Heavy flocking for 8 foot tree ,Flocking ,,Regular,120.00,,,,,Y
CBREGNNUAGWG4WXKG7AFVGQM,Hot Dog,Hot dog,Food,,Regular,3.00,,,,,Y
OA4EXX6VD5G3SVLIUM4VXL2N,Joy To The World ,Joy to the world ,Wreaths,,Regular,32.00,,,,,Y
SWDW73W42HUAFXMD23KT3Z7G,Juice,Juice bottle,Food,,Regular,2.00,,,,,Y
WPNY57JQ2KFQVEXLIYCVYMN2,Mixed Noble Large,Mixed Noble Large,Wreaths,,Regular,36.99,,,,,Y
JNVDVPACCPG7XLISNZUUIB7R,Mixed Noble Small ,Mixed Noble Small,Wreaths,,Regular,29.99,,,,,Y
QURJ5XJCXB5GODEXFLWVSPK7,Modern Noble,,Wreaths,,Regular,26.00,,,,,Y
6WSV4P3QMPDGIIM7JPMZ4PVU,Nachos ,Nachos ,Food,,Regular,3.00,,,,,Y
3FUVIWRGJIOFSPIHYCIUHPKX,Noble 6-7,6-7,Noble Trees,,Regular,79.99,,,,,Y
Q75MVQIESKUAB6L5IXIHTAWD,Noble 7-8,Noble 7-8,Noble Trees,,Regular,109.99,,,,,Y
7RW33J4REJ5T7WTYMTFYE7IB,Noble 8-9,Noble 8-9,Noble Trees,,Regular,119.99,,,,,Y
HCHQVVP7BBNL4AGPBW6OR3KE,Noble Custom,Custom Priced Noble ,Noble Trees,,Regular,variable,,,,,Y
WIKICHG2SKDO2Y5LQOMWJTWI,Nordmann 6-7,Nordmann 6-7,Nordmann Trees,,Regular,75.99,,,,,Y
2SDUWUL4WUIPQ5TYMPNK7MLZ,Nordmann 7-8,Nordmann 7-8,Nordmann Trees,,Regular,105.99,,,,,Y
BJKBIMLXAL22ANZDMGK2SR3M,Nordmann 8-9,Nordmann 8-9,Nordmann Trees,,Regular,115.99,,,,,Y
IWUOZ3UCCHSIY5IESW2DCB2J,Nordmann Custom,Custom Priced Nordmann ,Nordmann Trees,,Regular,variable,,,,,Y
AHQXCVQLNCNRORM53XSAZOZ4,Popcorn,Popcorn,Food,,Regular,3.00,,,,,Y
M7GTD4KFFOKGPOZJTYREGCXN,Small Jack Frost ,Small Jack Frost ,Wreaths,,Regular,25.00,,,,,Y
VM5PMPAIKFK7GMYZORGMPRBS,Snowman,Med Snowman,Miscellaneous ,,Regular,34.99,,,,,Y
7VJR62I6NPW34U37PB4CBF7R,Soda,,Food,,Regular,1.00,,,,,Y
CB7EDJU5J44MQV3IC5IZE54F,Tree Bags,Tree disposal bags,Miscellaneous ,,Regular,5.99,,,,,Y
KWD3PPUJRXHZYF5I6SO34K4I,Tree Funnel ,Tree funnel ,Miscellaneous ,,Regular,9.99,,,,,Y
BIARIA6RWAU35YQNQRHLEPA3,Wood Wreath,Wood Wreath,Wreaths,,Regular,34.99,,,,,Y
